DAM_NAME,NAT_ID,CNTY_NAME,EAP,Last EAP Update
Grass Lake Level Control Structure,MI00453,Kent,Yes,31-Dec-16
Trickett Dam,MI00454,Berrien,Not Required,
Stanton Lake Dam,MI00455,Montcalm,Not Required,
Topski Dam,MI00456,Barry,Not Required,
Bancroft Dairy Dam,MI00457,Marquette,Not Required,
Lake Highland Dam,MI00458,Genesee,Not Required,
Fawn Lake Dam,MI00459,Ogemaw,Not Required,
Robert Slivensky Dam,MI00460,Montmorency,Yes,26-Jul-01
Robert Dulude Dam,MI00461,Midland,Not Required,
Nordine Dam,MI00462,Houghton,Not Required,
Georgia John Farms Dam,MI00463,Mecosta,Not Required,
Echo Lake Dam,MI00464,Cheboygan,Not Required,
Cummings Lake Dam,MI00465,Shiawassee,Yes,01-Jan-15
James Bicknell III Dam,MI00466,Clare,Not Required,
Lake Hudson Dam,MI00467,Lenawee,Not Required,
Lake Sally Dam,MI00468,Marquette,Yes,08-Jan-15
